	M00596	M00176	MyDef1	MyDef2	MyDef3	MyDef4	MyDef5	M00356	M00357	M00563	M00567	M00174	MyDef6	M00595	M00345	M00346	M00008	M00555	MyDef7	MyDef9	MyDef8	MyDef11	MyDef12	MyDef15	MyDef16	MyDef17	MyDef21	MyDef19
Cadiz_LYX26	0.166666667	0.25	0	0	0	0	1	0.214285714	0.333333333	0.166666667	0.083333333	0	0	0	0.666666667	0.4	0.5	0	1	1	1	0	1	0.5	0	0	1	0
Cadiz_LYX31	0	0.416666667	0	0	0	0	0.25	0.071428571	0.3	0.083333333	0.0625	0	0	0	1	0.4	0.75	0	0	1	0	0	0	0	1	0	0	0
Cadiz_LYX47	0	1	0	0	0	0	1	0	0.2	0	0.3125	0.5	0.5	0.285714286	1	0.5	1	0	0	1	0	0	0	0.5	1	0	1	1
Cadiz_LYX43	0	1	0	1	1	1	1	0	0.2	0	0	0	0	0	0.333333333	0.6	0.75	1	0	1	0	0	0	1	1	0.333333333	1	1
Cadiz_LYX7	1	0.5	0	0	0	0	0.5	0.057142857	0.28	0.066666667	0.05	0	0	0	0.333333333	0.7	0.75	0	1	1	0	0	0	0	1	0	1	0
Cadiz_LYX42	0	1	1	1	1	1	0.25	0	0.2	0	0	0	0	0	0.666666667	0.4	1	1	1	1	0	0	0	0.5	1	0	1	1
Cadiz_LYX74	0	1	0	1	0	0	1	0	0.2	0	0.3125	1	0.5	1	0.666666667	0.9	1	0	0	1	0	0	0	0.5	1	0	0	0
Cadiz_LYX86	0.166666667	0.25	0	0	0	0	0	1	1	1	1	0	0	0	0.333333333	0.4	0	0	1	1	0	0	0	0	1	0.333333333	0	0
Cadiz_LYX46	0	1	0	0	1	1	0.5	0	0.2	0	0.3125	0.5	0.5	0.142857143	0.333333333	1	1	0.5	0	1	0	0	0	1	1	0	1	1
Cadiz_LYX58	0	0.666666667	0	0	0	0	1	0	0.2	0	0	0	0	0	0.333333333	0.5	1	1	1	1	0	0	0	0.5	1	0.333333333	1	1
Cadiz_LYX62	0	0	1	0	0	0	0	0	0.1	0	0	0	0	0	0.666666667	0.2	0.25	0	0	1	0	0	0	0.5	0	0	0	0
Cadiz_LYX49	0	1	1	1	1	1	1	0	0.2	0	0	0	0	0.142857143	0.333333333	0.5	1	1	1	1	0	0	0	0	1	0	0	0
Cadiz_LYX30	0	0.625	0	0	0	0	0.75	0	0.2	0	0	0	0.5	0	0	0.4	0.75	1	1	0.5	0	0	0	0	1	0	0	0
Cadiz_LYX59	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0.666666667	0.2	0.25	0	1	1	0	0	0	1	0	0	0	0
Cadiz_LYX40	0	1	0	0	0	0	0	0.047619048	0.266666667	0.055555556	0.041666667	0	0	0.142857143	0.333333333	0.5	0.75	0	1	0.5	0	0	0	0	1	0.333333333	1	0
Cadiz_LYX20	0	0.75	0	0	0	0	0	0	0.2	0	0	0	0.5	0	0.333333333	0.4	1	0.5	0.333333333	1	0	0	0	0.5	1	0	1	1
Cadiz_LYX105	0.333333333	0.333333333	0	0	0	0	0	0	0.2	0	0	0	0	0	0.333333333	0.4	0	0	0	1	0	0	0	0	1	0.333333333	0	0
Cadiz_LYX10	1	0.083333333	0.333333333	0	0	0	0	0.142857143	0.533333333	0.25	0.125	0	0.5	0	0.666666667	0.4	0	0	0	1	0	0	0	0	1	0.333333333	0	0
Cadiz_LYX28	0.333333333	0.333333333	0	0	0	0	0	0.014285714	0.02	0.016666667	0.0125	0	0	0	0.333333333	0.3	0	0	0	1	0	0	0	0	0	1	0	0
Cadiz_LYX76	0	0	0	0	0.333333333	0	0	0	0.1	0.166666667	0.125	0	0	0	0.666666667	0.1	0	0	0.333333333	1	1	1	0	0.5	0	0	1	0
Cadiz_LYX79	0	1	1	1	0.333333333	0.5	0.5	0	0.2	0	0	0	0.5	0	0.333333333	0.3	1	1	1	1	0	0	0	1	1	0	1	0
Cadiz_LYX87	0	0	0	0	0	0	1	0	0.2	0	0	0	0	0.142857143	0.666666667	0.4	0.75	0	1	1	0	0	0	1	0	0	1	0
Cadiz_LYX93	0	0.75	0	0	0	0	0.5	0	0.2	0.083333333	0	0	0.5	1	0	0.6	0.75	1	1	1	0	0	0	1	1	0	1	0
Cadiz_LYX68	0.333333333	0.25	0	0	0	0	0.25	0	0.2	0	0	0	0.5	0.571428571	0.666666667	0.5	0	0	0	1	0	0	0	0	1	0	1	0
Cadiz_LYX17	0	0.25	0	0	0	0	0	0.428571429	0.933333333	0.5	0.958333333	0	0	0	0.666666667	0.3	0	0	0	1	0	0	0	0	1	0.666666667	0	0
Cadiz_LYX6	0	0	0	0	0.333333333	0	0.25	0	0.266666667	0.166666667	0	0	0	0	0.666666667	0.2	0.5	0	0	1	1	1	1	0.5	1	0.333333333	1	0
Cadiz_LYX22	0	0	0	0	0	0	1	0	0.2	0	0	0	0	0	0.666666667	0.2	0.25	0	0	1	1	1	1	1	0	0	1	0
Cadiz_LYX39	1	0.5	0	0	0	0	1	0.047619048	0.266666667	0.055555556	0.354166667	0	0.5	1	0.333333333	0.5	0.5	0.5	0	1	0	0	0	0.5	1	0	0	0
Cadiz_LYX65	0	0.5	0	0	0.333333333	0	0.75	0	0.2	0	0	0	0	0	0.333333333	0.3	0	0	1	1	0	0	0	1	1	0	0	0
Cadiz_LYX96	1	0	0.333333333	0	0	0	0.25	0.142857143	0.533333333	0.25	0.145833333	0	0	0	0.666666667	0.4	0	0	0	1	0	0	0	0	1	0.666666667	0	0
Cadiz_LYX67	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0.666666667	0.2	0	0	0	0.5	0	0	0	1	0	0	1	0
Cadiz_LYX33	1	0.25	0.666666667	0	0	0	1	0.142857143	0.533333333	0.333333333	0.166666667	0	0	0	0.666666667	0.3	0	0	0.333333333	1	0	0	0	0.5	1	0.666666667	1	0
